Topic,Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
,Extracting data from PDFs,2017-03-02,11:30 a.m.,2017-03-02,12:30 p.m.,False,"Acton Gorton - Learn how to use tools for extracting text from documents. The seminar will discuss the fundamentals of knowing the best tool for the job, a walk-through using online web applications, and an introduction to cracking tough cases using Optical Character Recognition (OCR). For questions before or after the course, please email Acton Gorton (actongorton@gmail.com). 
 | URL: http://ire.org/events-and-training/event/2702/2935/",City Terrace 6,False
,Conversations: Remote working for journalists (Sponsored by SRCCON - OpenNews),2017-03-02,11:30 a.m.,2017-03-02,12:30 p.m.,False,"Kavya Sukumar - Remote working in journalism is sometimes very different than remote working in other fields. Even major national media outlets hesitate to allow remote workers for various reasons. I would love to have a conversation about whys why-nots, dos and don'ts of remote working.
 | URL: http://ire.org/events-and-training/event/2702/2976/",City Terrace 12,False
,Lunch on your own (Thursday),2017-03-02,12:30 p.m.,2017-03-02,2:15 p.m.,False,,See printed schedule for room information,False
,Conversations: Preparing for the worst case scenario (Sponsored by SRCCON - OpenNews),2017-03-02,12:45 p.m.,2017-03-02,1:45 p.m.,False,"Sisi Wei - A systematic persecution of specific minority groups in America (like the Japanese internment camps in the 1940s) has again become a scary and real possibility. If you've felt similar fears, have thought about your own emergency plans, let's talk. This session is not for people who are simply curious about why others might feel this way. Come to this session to talk emergency plan tips, building a geographically diverse support system for if/when the time comes, what to do as self-care in the meantime, and to know that you're not alone.
 | URL: http://ire.org/events-and-training/event/2702/2977/",City Terrace 12,False
tableau,Finding and telling data stories with Tableau Public (Hosted by Tableau),2017-03-02,1:30 p.m.,2017-03-02,3:00 p.m.,False,"Ben Jones - Got a dataset and an impending deadline to write a story on it? Find the scoop and convey it with beautiful, interactive visualizations in a serial narrative using Tableau Public. It's a fast, easy to use, and free tool for journalists. Visualizations will publish using any CMS and no programming is required. 
We'll teach you how to:
*Connect to Excel files and other file types
*Rapidly explore and analyze datasets with ease
*Make eye-catching visualizations to share your findings
*Add interactivity and arrange them in a serial narrative to engage and sustain your audience's attention
Tableau Public is a free tool for journalists. No previous experience with Tableau is necessary to attend. Laptops will be provided. This is a free training, however you must be registered for the CAR Conference to attend this class. Limited seats are available. There may be a few seats available on-site.
Register for this class.
 | URL: http://ire.org/events-and-training/event/2702/3017/",City Terrace 4,False
,Analyzing satellite imagery with Google Earth Engine,2017-03-02,2:15 p.m.,2017-03-02,3:15 p.m.,False,"Vanessa Schneider, Chris Herwig, Eric Sagara - Learn the basics of Earth Engine, Google's planetary-scale platform for geospatial analysis and visualization. Earth Engine (sister to Google Earth) has long been used by scientists quantifying differences on the Earth's surface. See how journalists at places like Reveal, Berliner Morgenpost and The New York Times have used the free tool to speed up normally complex and resource-intensive tasks and get hands-on with the Earth Engine API.
Familiarity with GIS/remote sensing and satellite imagery is a plus, but not required. We'll be coding with the JavaScript API, but no prior JS experience is necessary. For Earth Engine access, go to: https://signup.earthengine.google.com.
 | URL: http://ire.org/events-and-training/event/2702/3096/",City Terrace 6,False
,Digital security preparation for reporting abroad,2017-03-02,2:15 p.m.,2017-03-02,3:15 p.m.,False,"Olivia Martin - You're traveling abroad to cover a story: What steps can you take to secure your data, your devices, and your sources before heading to the airport? What are the pros and cons of bringing a burner into the field? How should you send notes to your editor before returning home? This hands-on workshop is designed to address the digital security needs of journalists as they travel overseas. Participants can expect to demo a number of software solutions and security practices — with particular focus paid to mobile and desktop security and file encryption.
 | URL: http://ire.org/events-and-training/event/2702/2952/",City Terrace 8,False
,Design track: Dataviz workflows -  Unexpected ways to use tools to publish print & web graphics (Sponsored by Society for News Design),2017-03-02,2:15 p.m.,2017-03-02,3:15 p.m.,False,"Ka Kay Rebecca Lai, Troy Griggs - Using tools such as AI2HTML and SVG Crowbar to go from the web to print and back again.
 | URL: http://ire.org/events-and-training/event/2702/3051/",City Terrace 5,False
,Battling burnout in a tweet-breaking world,2017-03-02,2:15 p.m.,2017-03-02,3:15 p.m.,False,"Darla Cameron, Nikole Hannah-Jones, Andy Boyle, Cynthia Persico - Everyone who's worked in the need-it-yesterday deadlines of the news world knows it can sometimes get stressful. And for some, it can reach a breaking point, affecting not only your work, but also your mental and physical health. Panelists will share stories about how they got burned out, how they dealt with it, and some healthy coping mechanisms to keep you running well in body and spirit.
**Moderated by Andy Boyle, Axios
 | URL: http://ire.org/events-and-training/event/2702/3135/",Conference Center A,False
,From drugs to doctors: Uncovering stories in health data,2017-03-02,2:15 p.m.,2017-03-02,3:15 p.m.,False,"Jeff Ernsthausen, Nicole Vap, Kristin Hussey, Ryan McNeill - In the bewildering world of healthcare data, there are no stupid questions. Join us to ask anything you've wondered about three of this year's biggest healthcare investigations. Our speakers tackled thousands of doctor disciplinary records, tracked down and charted soaring drug prices and schooled the CDC on public health statistics. The stories they produced gave readers and viewers solid insights and actionable information. How'd they do it, and how can you bring similar stories to your newsroom? Come hear for yourself.
**Moderated by Kristin Hussey, independent journalist 
 | URL: http://ire.org/events-and-training/event/2702/3134/",River Terrace 3,False
,Building your own database,2017-03-02,2:15 p.m.,2017-03-02,3:15 p.m.,False,"Meghan Hoyer, Sarah Ryley, John Schoen - **Moderated by Meghan Hoyer, The Associated Press
 | URL: http://ire.org/events-and-training/event/2702/3089/",Conference Center B,False
,NPR responsive graphics tool,2017-03-02,2:15 p.m.,2017-03-02,3:15 p.m.,False,"Sergio Hernandez, Matt Stiles, Alyson Hurt -  | URL: http://ire.org/events-and-training/event/2702/3022/",River Terrace 2,False
,Meet the Computational Journalism Workbench,2017-03-02,2:15 p.m.,2017-03-02,3:15 p.m.,False,"Jonathan Stray - The Computational Journalism Workbench combines scraping, analysis, and visualization in one easy tool. It works by assembling simple modules into a “workflow,” a repeatable, sharable, automatically updating pipeline that produces a publishable chart or a live API endpoint. Use off the shelf modules to monitor data sources for changes, scrape sites, clean data, or even crowdsource a data processing task. No programming experience is necessary, but each module is just Python under the hood, making it infinitely extensible. Think of it as If This Then That for data journalism, with the power of Jupyter notebook and Chartbuilder built in.
 | URL: http://ire.org/events-and-training/event/2702/3009/",City Terrace 12,False
,Covering K-12 while battling FERPA,2017-03-02,2:15 p.m.,2017-03-02,3:15 p.m.,False,"Nathaniel Lash, Jennifer Peebles, Jennifer Smith Richards - Digging out the real story in a K-12 world increasingly reliant on data to make decisions can be hard when the black hole of federal student-privacy law tries to entrap everything in its gravitational pull. We'll talk about approaches to pushing back and what has worked and what hasn't. 
 | URL: http://ire.org/events-and-training/event/2702/3133/",River Terrace 1,False
python,Intro to Python 1,2017-03-02,2:15 p.m.,2017-03-02,3:15 p.m.,False,"Liz Lucas - Want to upgrade your data skills? Come learn the Python programming language for a three-hour span. Geared toward beginners, this class with go over language basics and introduce you to key concepts. You'll then take your new Python skills and learn how to automate simple tasks, as well as how to collect and manipulate data in pursuit of stories.
 | URL: http://ire.org/events-and-training/event/2702/2936/",City Terrace 10,False
spreadsheets,Getting started with Excel,2017-03-02,2:15 p.m.,2017-03-02,3:15 p.m.,False,"Jill Riepenhoff - In this introduction to spreadsheets you'll begin analyzing data with Excel, a simple but powerful tool. You'll learn how to enter data, sort it and conduct simple calculations like average and median. 
 | URL: http://ire.org/events-and-training/event/2702/2937/",City Terrace 11,False
javascript,Design track: Intro to D3 (Sponsored by Society for News Design),2017-03-02,3:30 p.m.,2017-03-02,4:30 p.m.,False,"Darla Cameron, Ashley Wu -  | URL: http://ire.org/events-and-training/event/2702/3052/",City Terrace 5,False
,How to bulletproof your data story,2017-03-02,3:30 p.m.,2017-03-02,4:30 p.m.,False,"Jennifer Forsyth, Joel Engelhardt - We walk through all the steps you need to take to make sure the data you've been slaving over for months cannot be dismissed by naysayers. We give managers the questions they should ask to help reporters think through their approach to data. And we sound warning bells for some of the most dangerous mistakes and assumptions that come up in using data in the newsroom.
 | URL: http://ire.org/events-and-training/event/2702/3111/",Conference Center B,False
