Topic,Subject,Start Date,Start Time,End Date,End Time,Speaker(s),Description,Location,URL
,IRE Conference Registration (Wednesday),2016-06-15,2:00 p.m.,2016-06-15,6:00 p.m.,TBA,,"Preservation Booth, 2nd floor",http://ire.org/events-and-training/event/2199/2741/
,10 great business databases to mine for stories (Sponsored by the Donald W. Reynolds National Center for Business Journalism),2016-06-15,2:00 p.m.,2016-06-15,4:00 p.m.,Steve Doig,"Data journalist Stephen Doig, the Knight Chair at Arizona State University's Walter Cronkite School of Journalism and Mass Communication, will demonstrate 10 data sources you may never have heard of that can lend rich context to your business and economic stories and spark meaningful investigations in this pre-conference workshop, sponsored by the Donald W. Reynolds National Center for Business Journalism on Wednesday, June 15 from 2-4 p.m.
From ZIP code-level business patterns to foreign trade imports and exports and hospital data, Doig will walk you through seldom-used databases that hold treasures for reporters. You'll learn what's in the data sets, how to get them, what you can pull from them, what questions to ask of the data and story ideas that could be developed, and you'll leave armed with new knowledge and fresh ideas. Registration for the workshop will begin at 1:30 p.m. on Wednesday, June 15.
",Galerie 3,http://ire.org/events-and-training/event/2199/2559/
,The jazz scene in New Orleans after Katrina,2016-06-15,4:30 p.m.,2016-06-15,6:30 p.m.,Don Vappie,"One of the most outstanding jazz players in New Orleans, Don Vappie, will share his insights on, how Katrina affected jazz in New Orleans. He will cover the discussions between musicians, the jazz scene and the music. He will demonstrate with his banjo and song.
",Balcony K,http://ire.org/events-and-training/event/2199/2766/
,IRE Sales Table (Thursday),2016-06-16,7:30 a.m.,2016-06-16,6:00 p.m.,TBA,"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, the large selection of titles we carry will certainly include your interests. All proceeds from your purchase help support IRE and its mission.  Sales will be located in Preservation Hall on the 2nd floor of the New Orleans Marriott.
",Preservation Hall,http://ire.org/events-and-training/event/2199/2745/
,IRE Conference Registration (Thursday),2016-06-16,7:30 a.m.,2016-06-16,6:00 p.m.,TBA,,"Preservation Booth, 2nd floor",http://ire.org/events-and-training/event/2199/2742/
,Welcome and overview of the conference,2016-06-16,8:30 a.m.,2016-06-16,8:50 a.m.,TBA,,Salon E,http://ire.org/events-and-training/event/2199/2788/
,Investigative parternships,2016-06-16,9:00 a.m.,2016-06-16,10:00 a.m.,"Ellen Gabler, Keith Esparros, Manuel Torres, Jeff Adelson, Greg Phillips","**Moderated by Ellen Gabler, Milwaukee Journal Sentinel
Hear from two powerhouse reporting teams that produced major investigations through partnerships. We'll discuss why you'd even want to partner; how to build trust between reporting teams; tips for managing deadlines and multiple editors; and how to handle the general logistics of collaborating between newsrooms. Our panelists melded talent from online, print and TV news organizations to supersize their investigations - and will explain how you can do the same.
",Studio 9-10,http://ire.org/events-and-training/event/2199/2544/
,Exhibitor/Recruiter Hours (Thursday),2016-06-16,9:00 a.m.,2016-06-16,5:00 p.m.,TBA,,Preservation Hall,http://ire.org/events-and-training/event/2199/2751/
tableau,Interactive data graphics in Tableau Public (Hosted by Tableau) *pre-registered attendees only,2016-06-16,9:00 a.m.,2016-06-16,10:30 a.m.,Ben Jones,"Learn how to create beautiful, interactive data visualizations on short deadlines. No programming required. You'll learn everything you need to build data visualizations and publish them to your website just like a video. We'll teach you how to:
•Connect to Excel files and other data•Create maps and charts•Make them interactive•Publish them on your site
Tableau Public is a free tool for journalists. No previous experience with Tableau is necessary to take this class. Laptops will be provided. This is a free training, however you must be registered for the IRE Conference to attend this class. Limited seats are available. There may be a few seats available on-site.
Register for this class
",Salon C,http://ire.org/events-and-training/event/2199/2696/
,Web scraping for anyone,2016-06-16,9:00 a.m.,2016-06-16,10:00 a.m.,Samantha Sunne,"You don't have to write code to coax data off the web - with some clicks and tricks and elbow grease, you can get data and documents even your sources don't want you to have. We'll cover tools you can use out of the box, more advanced techniques, plus secret Internet passageways to the data you want.
",Salon B,http://ire.org/events-and-training/event/2199/2705/
