Topic,Subject,Start Date,Start Time,End Date,End Time,Speaker(s),Description,Location,URL
,Breaking local stories with economic data (Sponsored by Donald W. Reynolds National Center for Business Journalism),2013-06-19,2:00 p.m.,2013-06-19,5:00 p.m.,"Jeannine Aversa, Paul Overberg","Donald W. Reynolds National Center for Business Journalism will offer a free workshop from 2-5 p.m. on June 19: Breaking Local Stories with Economic Data. Government data offer unparalleled opportunities to distinguish your reporting with trend stories about what's happening in your local economy. Especially this year, with the release of the every-five-year Economic Census, journalists will have a unique opportunity to track changes in their local community from 2007 - before the recession - to 2012. Instructors Paul Overberg of USA TODAY and Jeannine Aversa, late of The AP, now with the U.S. Bureau of Economic Analysis, will provide you with a road map to finding and delivering at least 15 local enterprise stories from government economic data. Examples will be specific to the San Antonio region, but applicable anywhere. Sign up here for this free workshop.  Registration begins at 1:30 p.m. for this workshop.
",Salon D,http://ire.org/events-and-training/event/21/783/
,IRE Conference Registration (Wednesday),2013-06-19,3:00 p.m.,2013-06-19,6:00 p.m.,TBA,"Registration will be located on the 3rd floor of the San Antonio Marriott Rivercenter.
",3rd Floor - Registration Desk,http://ire.org/events-and-training/event/21/808/
,IRE Sales Table (Thursday),2013-06-20,7:30 a.m.,2013-06-20,6:00 p.m.,TBA,"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, including the newest title in the IRE beat book series. The large selection of titles we carry will certainly include your interests. All proceeds from your purchase help support IRE and its mission.
",3rd Floor,http://ire.org/events-and-training/event/21/957/
,IRE Conference Registration (Thursday),2013-06-20,7:30 a.m.,2013-06-20,6:00 p.m.,TBA,"Registration will be located on the 3rd floor of the San Antonio Marriott Rivercenter.
",3rd Floor - Registration Desk,http://ire.org/events-and-training/event/21/953/
tableau,Tableau Public for Beginners (Hosted by Tableau Software),2013-06-20,9:00 a.m.,2013-06-20,12:30 p.m.,Jewel Loree,"Learn how to create beautiful, interactive data visualizations on short deadlines. No programming required. You'll learn everything you need to build data visualizations and publish them to your website just like a video. We'll teach you how to:
*Connect to Excel files and other data
*Create maps and charts
*Format them beautifully
*Make them interactive
Tableau Public is a free tool for journalists. No previous experience with Tableau is necessary to take this class. This session is full, however a few seats will be available the morning of the training on a first-come, first-served basis. Laptops will be provided.
",CR 10,http://ire.org/events-and-training/event/21/873/
,Easy to use visualization tools,2013-06-20,9:00 a.m.,2013-06-20,10:00 a.m.,"Cheryl Phillips, Joe Yerardi, Chloe Whiteaker","Data visualizations can be extremely useful as a tool for both the reporter and the reader. We'll introduce tools that are easy to use and available at little to no cost, from Google charts and Google Fusion maps to Tableau visualizations. No coding necessary, but we'll also demonstrate some other map and Javascript tools for those looking to expand the possible in their work.
",Salon C,http://ire.org/events-and-training/event/21/785/
statistics,Juking the stats? Delve into your police department's FBI crime data to find flaws,2013-06-20,9:00 a.m.,2013-06-20,10:00 a.m.,"Ben Poston, Steve Thompson","If your police department has announced big crime drops, it may be time to take a closer look. Are they converting burglaries to vandalism, downgrading assaults, making it more difficult to report certain crimes, or creating whole new categories that don't make it into the stats that they report to the FBI? Ben and Steve will give you ideas on where to start your investigation.
",CR 1-4,http://ire.org/events-and-training/event/21/807/
,Best mobile apps for reporting,2013-06-20,9:00 a.m.,2013-06-20,10:00 a.m.,"Stephen Stock, David Ho","Mobile is reshaping the media landscape, but how can the technology help you as a journalist? Bring your toolbox into the smart phone and tablet age with this session highlighting key mobile apps and some tips and tricks to supercharge your reporting. We'll provide a demonstration of cool apps you can use to gather daily news, showing you everything from file sharing apps to one that can track airplanes flying by in the sky.
",Salon D,http://ire.org/events-and-training/event/21/839/
,Every day data: DBs every newsroom should already have on file or be familiar with,2013-06-20,9:00 a.m.,2013-06-20,10:00 a.m.,"Dan Keating, Yang Wang","Whether you're setting up shop for your news organization or for yourself, there are a handful of tried-and-true local and online data sources that you want to have at your fingertips. We'll show you suggestions and some examples of how they've paid off.
",Salon I,http://ire.org/events-and-training/event/21/801/
,CensusReporter update (Sponsored by John S. and James L. Knight Foundation),2013-06-20,9:00 a.m.,2013-06-20,10:00 a.m.,Joe Germuska,"CensusReporter is a Knight News Challenge-funded project to make it easy for journalists to write stories using US Census data. Expanding upon the volunteer-built Census.ire.org, CensusReporter will simplify finding and using data from the decennial census and the American Community Survey. In this session you'll learn more about the project and how it, and census data, can help you in your reporting.
",CR 12,http://ire.org/events-and-training/event/21/818/
,Shooting your own video for your investigation,2013-06-20,9:00 a.m.,2013-06-20,10:00 a.m.,Steve Elfers,"This one-hour session will be packed with video goodness and offers something for everyone, from the novice to those with a bit more experience. We'll cover:
*Video storytelling basics
*Shooting editable sequences
*Great sound on your mobile device
*iPhone video apps
*Making boring documents look cool
",Salon A,http://ire.org/events-and-training/event/21/784/
,INN Training: The latest on philanthropy for nonprofit news and media organizations,2013-06-20,9:00 a.m.,2013-06-20,10:30 a.m.,"Marie Gilot, Mark Hallett, Sue Hale, Charles Lewis","**Moderated by Charles Lewis
A roundtable discussion featuring experts in the national, community and topic-focused foundations and in the crowdfunding space. Mark Hallett of the McCormick Foundation, Sue Hale of the Ethics & Excellence in Journalism Foundation and Marie Gilot of the Knight Foundation will discuss the realities and strategies employed by successful nonprofit newsrooms and media organizations serving the public interest.
",Salon K,http://ire.org/events-and-training/event/21/942/
,Rapid data publishing with Caspio (Hosted by Caspio),2013-06-20,9:00 a.m.,2013-06-20,10:50 a.m.,Edward Garcia,"This session provides a hands-on introduction to the Caspio framework for rapid database publishing. Learn how to import a public data set (Census, crime, health inspections, etc.) and quickly build an interactive, searchable and embeddable web app for your website. Topics covered:
*Prepping and importing data
*Creating a searchable database
*Report interfaces and layouts
*Deployment on your website
Pre-registration is encouraged, as space is limited. No programming skills or previous Caspio experience is necessary. Laptops will be provided.
",CR 11,http://ire.org/events-and-training/event/21/967/
,Overview of the year in CAR,2013-06-20,10:10 a.m.,2013-06-20,11:10 a.m.,"Megan Luther, Mark Horvit","Be inspired and see what your colleagues have been up to with new data and creative analysis.
",Salon D,http://ire.org/events-and-training/event/21/796/
,Using technology in your investigation,2013-06-20,10:10 a.m.,2013-06-20,11:10 a.m.,"Alison Young, Megan Chuchmach","Technology created for other industries and other uses can provide crucial help to journalists working on projects, from the tracking feature in an iPad to high-tech scientific instruments that can allow you to do your own environmental sampling of soil. Hear about how panelists Alison Young and Megan Chuchmach have put technology to work in the name of journalism and get tips for staying out of trouble when reporters generate their own data.
",Salon C,http://ire.org/events-and-training/event/21/787/
,Investigating health care with data,2013-06-20,10:10 a.m.,2013-06-20,11:10 a.m.,"David Donald, Jeff Donn","It's heavenly when public or commercial medical data are well standardized and comprehensive. Drugs come in standard names and common units, patient ages are given in years, the data represents the entire market. You can perform a few simple calculations in a spreadsheet or some straightforward queries in a database manager, and you're ready to hit the streets for reporting. With ever-more data at hand, though, many databases are messy or incomplete, often because they rely on entries by users. Working with such data can be hellish. But the right tools and approaches can save hours of time and frustration and help ensure accurate findings. Index tables, standardizing queries, customized coding scripts, year-to-year analysis, and other techniques and approaches can help uncover the gems buried in muddy data. In this session we'll discuss all of this and you'll see some of these suggestions put into practice for analyzing Medicare claims data used in ""Cracking the Codes"" the 2012 Philip Meyer Award winner.
",Salon I,http://ire.org/events-and-training/event/21/802/
,Business investigations (Sponsored by Bloomberg),2013-06-20,10:10 a.m.,2013-06-20,11:10 a.m.,"Rob Barry, David Heath, Todd Wallack","Businesses raise and spend trillions of dollars, build and tear down property, file for patents and copyrights, set up complex partnerships, sue and get sued, and otherwise file reams of documents every year. With all that activity, they leave plenty of marks for investigative journalists to follow. Take your stories beyond the usual sources and learn how to dig through bankruptcy documents, regulatory filings, lawsuits, and other helpful records.
",Salon J,http://ire.org/events-and-training/event/21/810/
,Sensor journalism (Sponsored by John S. and James L. Knight Foundation),2013-06-20,10:10 a.m.,2013-06-20,11:10 a.m.,Matt Waite,"The next great tool for data journalists? DIY sensor networks. From gathering environmental data to detecting a billion cicadas, journalists are just starting to explore using open hardware for journalism.
",Conference Room 12,http://ire.org/events-and-training/event/21/819/
,Compared to what? Using data to provide context on any beat,2013-06-20,10:10 a.m.,2013-06-20,11:10 a.m.,"Coulter Jones, Jessica Savage","Stop reporting isolated incidents and dig deeper into the broader trends encompassing your beat. Data is readily available that can improve reporting, from the hyper local in your community to the national or world stage. This panel will cover how beat reporters should approach incorporating data and where they can find it. We'll also show you what's available online and what questions you should ask to start requesting data from the agencies you deal with on a daily basis.
",CR 1-4,http://ire.org/events-and-training/event/21/809/
,INN Training: Best-practice lightning round presentations,2013-06-20,10:45 a.m.,2013-06-20,12:30 p.m.,TBA,"Six INN members will offer quick presentations on the following topics:
* Trevor Aaronson, FCIR - Turning data journalism into earned income
* Joe Bergantino, NECIR - Training as an income source (an update on last year's lightning round)
* Lorie Hearn, Investigative Newsource - On how inewsource and San Diego's public media station are developing a formula for telling investigative stories through radio, television, online, social media and beyond
* David Kaplan, GCIJ - Why you should be thinking globally
* Pam Dempsey, Investigate Midwest - Agribusiness as a topic for regional collaborations
* Adam Schweigert, INN - An updated on the Largo CMS
Following the presentations, there will be a 30-minute Q&A.
",Salon K,http://ire.org/events-and-training/event/21/943/
,DocumentCloud as an investigative tool (Sponsored by John S. and James L. Knight Foundation),2013-06-20,11:20 a.m.,2013-06-20,12:20 p.m.,"Ted Han, Holly Hacker","With DocumentCloud, reporters can quickly organize and search hundreds (heck, thousands) of those pesky PDFs. It can also detect plagiarism. Learn how DocumentCloud helped one reporter find applications to open charter schools that contained identical passages.
",CR 12,http://ire.org/events-and-training/event/21/820/
,Squeaky wheels: Quick-hit and in-depth investigations from complaint data,2013-06-20,11:20 a.m.,2013-06-20,12:20 p.m.,"Jill Riepenhoff, Emily DeMarco","Let's face it, people complain and as journalists, we love when they leave a public paper trail. Potholes. Bad manicures. Chain letters. Exploding toasters. Error-riddled credit reports. People complain about virtually everything. We'll discuss stories we've done with complaint data and how to avoid potential landmines. We'll show some cool data visualizations, tell you how we used complaints to investigate common nuisances and shadowy corporations, and hopefully inspire you to dig into the whiners and complainers in your neck of the woods.
",Salon C,http://ire.org/events-and-training/event/21/789/
,Demystifying mobile for investigations,2013-06-20,11:20 a.m.,2013-06-20,12:20 p.m.,"Miranda Mulligan, David Ho, Jeff Taylor","If you want your stories to have impact on a smart phone or tablet, but you're not sure how the work will translate, you're not alone. This session will break down how mobile and responsive web design are changing the way stories are told. What key things should you be thinking of and incorporating to help your investigation get the best play possible? We'll talk about storytelling for mobile, workflow, best practices and user-interface patterns that set you up for success.
",Salon I,http://ire.org/events-and-training/event/21/816/
,Inspect this,2013-06-20,11:20 a.m.,2013-06-20,12:20 p.m.,"Megan Luther, Russ Ptacek, James Drew","Uncover the gold mine of inspection data, get ideas and techniques on how to track inspectors at each level of government and walk away with story ideas to impress your boss at home.
",Salon J,http://ire.org/events-and-training/event/21/812/
,Free or cheap tools for wrangling data,2013-06-20,11:20 a.m.,2013-06-20,12:20 p.m.,"Tyler Dukes, T. Christian Miller","On a budget? Who isn't these days? But you don't have to spend a penny (or much) to own powerful and easy-to-use tools for gathering, analyzing and presenting data. We'll tell you about some of the most popular stuff available, from tools for handling and analyzing data to basics such as free spreadsheets, text editors and photo editing software.
",Salon A,http://ire.org/events-and-training/event/21/788/
,Mapping for investigations,2013-06-20,11:20 a.m.,2013-06-20,12:20 p.m.,"Andrew Long, Ben Poston","From geocoding crime data to tracking Hurricane Sandy storm surges, mapping software is used by investigative journalists every day. This panel will showcase some stellar mapping projects and provide techniques to help you execute your next GIS-driven investigation and share your findings on the Web.
",CR 1-4,http://ire.org/events-and-training/event/21/811/
spreadsheets,"Finding the needles in a million haystacks: How to build a thorough data-based investigation with inaccessible, incomprehensible, and indeterminate data",2013-06-20,11:20 a.m.,2013-06-20,12:20 p.m.,"Amanda Zamora, Robert Benincasa, Glenn Howatt","Data investigations are tough. They require in-depth analysis of complex datasets, perceptive ability to pull out the most interesting facts and trends, and thoughtful and accessible presentation. All of that is hard enough when crunching existing data -- but what happens when the information you're after is nowhere to be found and there is no established framework for how to present it? The journalists on this panel have built previously nonexistent databases that not only went on to serve as resources for other news organizations, but also received wide recognition for the complexity and scope of the investigations they required and have been awarded for their subsequent impact. Come hear them speak about how they built exhaustive data investigations from the ground up by scouring and fighting for facts, setting their own parameters of the investigation, and presenting the data in a way that gave their reporting longevity and credibility.
",Salon D,http://ire.org/events-and-training/event/21/797/
,Sneak peek of Caspio 8.0 Beta (Hosted by Caspio),2013-06-20,11:20 a.m.,2013-06-20,12:20 p.m.,Edward Garcia,"See a preview of the latest features and redesigned user interface coming up in Caspio 8.0. With a modern new look, improved productivity, and exciting new features, this is our most monumental product release to date.
***Attendees receive a beta account for advanced access.***
Pre-registration is encouraged, as space is limited.  No previous Caspio experience is necessary.  Laptops will be provided. 
",CR 11,http://ire.org/events-and-training/event/21/968/
,"INN Training: Maintaining independence: How the new nonprofit newsrooms can thrive in a time of partnerships, mergers and acquisitions",2013-06-20,1:30 p.m.,2013-06-20,2:30 p.m.,Brant Houston,"How does an investigative nonprofit newsroom keep its independence in a time of limited resources, increasing partnerships and even mergers and acquisitions? How to navigate the challenges when you are working with universities, public broadcasting and other collaborators. This panel will explore the choices that several leading INN organizations have made, and break down the benefits and pitfalls of each approach. Brant Houston moderator, roundtable of Margie Frievogel, Laura Frank, Lorie Hearn, Joe Bergantino and Andy Hall with lots of audience participation.
",Salon K,http://ire.org/events-and-training/event/21/946/
tableau,Tableau Public for Pros (Hosted by Tableau Software),2013-06-20,1:30 p.m.,2013-06-20,5:30 p.m.,Mike Klaczynski,"Take your data visualization skills to the next level. In this class we'll push Tableau's capabilities further to create more complex visualizations. You'll learn how to:
*Clean and format dirty data
*Use multiple data sources in the same visualization
*Build more advanced visualizations
*Employ advanced interactive elements
Tableau Public is a free tool for journalists. Class participants should have some experience with Tableau or have taken the morning beginner course. Pre-registration is required for Tableau for Pros, you must be registered for the conference to attend. Limited seating is available. Laptops will be provided.
",CR 10,http://ire.org/events-and-training/event/21/874/
,IRE Board Meeting,2013-06-20,2:00 p.m.,2013-06-20,6:00 p.m.,TBA,"The IRE Board of Directors will meet at 2 p.m. Thursday in San Antonio as part of the annual conference. The meeting is open to all IRE members.
",Conference Room 7,http://ire.org/events-and-training/event/21/948/
