Topic,Subject,Start Date,Start Time,End Date,End Time,Speaker(s),Description,Location,URL
,10 great business databases to mine for stories (Sponsored by the Donald W. Reynolds National Center for Business Journalism),2016-06-15,2:00 p.m.,2016-06-15,4:00 p.m.,Steve Doig,,Salon F-H,http://ire.org/events-and-training/event/2199/2559/
,Follow the money to tax havens (Sponsored by Knight Foundation),2016-06-16,9:00 a.m.,2016-06-16,10:00 a.m.,Miranda Patrucic,,Galerie 1,http://ire.org/events-and-training/event/2199/2571/
,Mapping Camp *pre-registered attendees only,2016-06-16,9:00 a.m.,2016-06-16,6:00 p.m.,"David Herzog, Jennifer LaFleur","Learn how to uncover interesting news stories by mapping data with geographic information system (GIS) software during our intensive mini-boot camp and receive a free copy of ArcGIS Desktop*.
IRE and NICAR trainers conduct this hands-on training using the latest version of ArcGIS Desktop. We will look at noteworthy stories that have used mapping and show you how to uncover stories using census and other data. You'll learn how to display data geographically; import and query data; geocode to merge databases with addresses into maps. Attendees will also learn how ArcGIS Online may help as a storytelling platform. In addition, we'll provide you with our boot camp materials to help keep you on track long after you leave the conference. 
Participants should have some experience working with data in a relational database manager, such as Microsoft Access or MySQL. Preregistration is required and seating is limited. Laptops will be provided for the training. Please note the desktop software is available only for Windows but ArcGIS Online can be used from any platform.
*Attendees of the boot camp have the option to receive the following discounts from Esri. (1) A free license of ArcGIS Desktop that will not expire and includes one year call-in technical support and upgrades at no cost. Call-in technical support and upgrades are available on a nominal fee basis in year two. (2) A free one-year subscription to ArcGIS Online that includes access to Esri's Community Analyst database. Please contact the Esri Media Relations team press@esri.com for further information. The desktop software is available only for Windows but ArcGIS Online can be used from any platform.
Attendees must be registered for the conference to attend this workshop.
NOTE: Registration is required for this session. Click here to sign up.
",Salon A,http://ire.org/events-and-training/event/2199/2540/
,Getting your stuff together,2016-06-16,9:00 a.m.,2016-06-16,10:00 a.m.,"Andrea Parquet-Taylor, Cheryl W. Thompson, Marina Trahan Martinez, T. Christian Miller","**Moderated by T. Christian Miller, ProPublica
It's an unsung talent: being organized. But it's crucial to pulling off long projects and cranking out investigations while on the beat. In this session, we'll go step-by-step through reporters' own processes to see how they manage time and information, including tips on specific tools to use.
",Salon D,http://ire.org/events-and-training/event/2199/2664/
,Web scraping for anyone,2016-06-16,9:00 a.m.,2016-06-16,10:00 a.m.,Samantha Sunne,"You don't have to write code to coax data off the web - with some clicks and tricks and elbow grease, you can get data and documents even your sources don't want you to have. We'll cover tools you can use out of the box, more advanced techniques, plus secret Internet passageways to the data you want.
",Salon B,http://ire.org/events-and-training/event/2199/2705/
,Investigative parternships,2016-06-16,9:00 a.m.,2016-06-16,10:00 a.m.,"Jeff Adelson, Keith Esparros, Manuel Torres, Ellen Gabler, Greg Phillips","**Moderated by Ellen Gabler, Milwaukee Journal Sentinel
",Studio 9-10,http://ire.org/events-and-training/event/2199/2544/
,Investigative reporting on a shoestring,2016-06-16,9:00 a.m.,2016-06-16,10:00 a.m.,"Esther Kaplan, Trevor Aaronson, Lee Fang, Kathryn Joyce, Kelly Virella","**Moderated by Esther Kaplan, The Investigative Fund
",Galerie 3,http://ire.org/events-and-training/event/2199/2691/
,Who can read your story? The digital divide (Sponsored by The Media Consortium),2016-06-16,9:00 a.m.,2016-06-16,10:00 a.m.,"Christopher Mitchell, Matthew Rantanen, Michael Scurato","Fifteen percent of Americans don't use the internet—and they aren't all seniors. In rural areas, on reservations and in prisons, many users simply don't have access. The story of lack of access deepens when we overlay “access” with economic data. For example, 62% of Spanish-dominant Latinos do not have broadband access at home. A significant number of users can't afford to have access when or how they want it.
We'll explore questions like, do users really have internet access if the only access is mobile wireless or, if the cost is 10% of their monthly wage? Will the proposed lifeline program impact a significant number of people? Speakers will also explain the implications of lifeline access, the hope community broadband offers, and provide tools/sources so you can investigate internet access across geographic, demographic and policy lines.
",Galerie 4-5,http://ire.org/events-and-training/event/2199/2680/
,Tracking government spending,2016-06-16,9:00 a.m.,2016-06-16,10:00 a.m.,"Ziva Branstetter, Colby Goodman, Norberto Santana Jr.",,Salon F-H,http://ire.org/events-and-training/event/2199/2560/
,An insider's guide to IRE16,2016-06-16,9:00 a.m.,2016-06-16,10:00 a.m.,"Charlotte Huffman, Kristin Hussey, Sarah Hutchins, Megan Luther","**Moderated by Megan Luther, IRE/NICAR
",Salon E,http://ire.org/events-and-training/event/2199/2555/
tableau,Interactive data graphics in Tableau Public (Hosted by Tableau) *pre-registered attendees only,2016-06-16,9:00 a.m.,2016-06-16,10:30 a.m.,TBA,"Learn how to create beautiful, interactive data visualizations on short deadlines. No programming required. You'll learn everything you need to build data visualizations and publish them to your website just like a video. We'll teach you how to:
•Connect to Excel files and other data•Create maps and charts•Make them interactive•Publish them on your site
Tableau Public is a free tool for journalists. No previous experience with Tableau is necessary to take this class. Laptops will be provided. This is a free training, however you must be registered for the IRE Conference to attend this class. Limited seats are available. There may be a few seats available on-site.
Register for this class
",Salon C,http://ire.org/events-and-training/event/2199/2696/
,Show & Tell *Thursday - #1 (Sponsored by Napoli Management Group),2016-06-16,9:00 a.m.,2016-06-16,10:00 a.m.,Kevin Keeshan,"**Moderated by Kevin Keeshan, NBC Owned Television Stations
Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 10 minutes and includes a 5-minute break.
Reserve a slot online: Thursday sign-ups open at 9 a.m. on Wednesday. Check back on Wednesday, June 15 for sign-up details.
",Galerie 2,http://ire.org/events-and-training/event/2199/2713/
