Topic,Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
,10 great business databases to mine for stories (Sponsored by the Donald W. Reynolds National Center for Business Journalism),2016-06-15,2:00 p.m.,2016-06-15,4:00 p.m.,False,Steve Doig -  | URL: http://ire.org/events-and-training/event/2199/2559/,Salon F-H,False
,Follow the money to tax havens (Sponsored by Knight Foundation),2016-06-16,9:00 a.m.,2016-06-16,10:00 a.m.,False,Miranda Patrucic -  | URL: http://ire.org/events-and-training/event/2199/2571/,Galerie 1,False
,Mapping Camp *pre-registered attendees only,2016-06-16,9:00 a.m.,2016-06-16,6:00 p.m.,False,"David Herzog, Jennifer LaFleur - Learn how to uncover interesting news stories by mapping data with geographic information system (GIS) software during our intensive mini-boot camp and receive a free copy of ArcGIS Desktop*.
IRE and NICAR trainers conduct this hands-on training using the latest version of ArcGIS Desktop. We will look at noteworthy stories that have used mapping and show you how to uncover stories using census and other data. You'll learn how to display data geographically; import and query data; geocode to merge databases with addresses into maps. Attendees will also learn how ArcGIS Online may help as a storytelling platform. In addition, we'll provide you with our boot camp materials to help keep you on track long after you leave the conference. 
Participants should have some experience working with data in a relational database manager, such as Microsoft Access or MySQL. Preregistration is required and seating is limited. Laptops will be provided for the training. Please note the desktop software is available only for Windows but ArcGIS Online can be used from any platform.
*Attendees of the boot camp have the option to receive the following discounts from Esri. (1) A free license of ArcGIS Desktop that will not expire and includes one year call-in technical support and upgrades at no cost. Call-in technical support and upgrades are available on a nominal fee basis in year two. (2) A free one-year subscription to ArcGIS Online that includes access to Esri's Community Analyst database. Please contact the Esri Media Relations team press@esri.com for further information. The desktop software is available only for Windows but ArcGIS Online can be used from any platform.
Attendees must be registered for the conference to attend this workshop.
NOTE: Registration is required for this session. Click here to sign up.
 | URL: http://ire.org/events-and-training/event/2199/2540/",Salon A,False
,Getting your stuff together,2016-06-16,9:00 a.m.,2016-06-16,10:00 a.m.,False,"Andrea Parquet-Taylor, Cheryl W. Thompson, Marina Trahan Martinez, T. Christian Miller - **Moderated by T. Christian Miller, ProPublica
It's an unsung talent: being organized. But it's crucial to pulling off long projects and cranking out investigations while on the beat. In this session, we'll go step-by-step through reporters' own processes to see how they manage time and information, including tips on specific tools to use.
 | URL: http://ire.org/events-and-training/event/2199/2664/",Salon D,False
,Web scraping for anyone,2016-06-16,9:00 a.m.,2016-06-16,10:00 a.m.,False,"Samantha Sunne - You don't have to write code to coax data off the web - with some clicks and tricks and elbow grease, you can get data and documents even your sources don't want you to have. We'll cover tools you can use out of the box, more advanced techniques, plus secret Internet passageways to the data you want.
 | URL: http://ire.org/events-and-training/event/2199/2705/",Salon B,False
,Investigative parternships,2016-06-16,9:00 a.m.,2016-06-16,10:00 a.m.,False,"Jeff Adelson, Keith Esparros, Manuel Torres, Ellen Gabler, Greg Phillips - **Moderated by Ellen Gabler, Milwaukee Journal Sentinel
 | URL: http://ire.org/events-and-training/event/2199/2544/",Studio 9-10,False
,Investigative reporting on a shoestring,2016-06-16,9:00 a.m.,2016-06-16,10:00 a.m.,False,"Esther Kaplan, Trevor Aaronson, Lee Fang, Kathryn Joyce, Kelly Virella - **Moderated by Esther Kaplan, The Investigative Fund
 | URL: http://ire.org/events-and-training/event/2199/2691/",Galerie 3,False
,Who can read your story? The digital divide (Sponsored by The Media Consortium),2016-06-16,9:00 a.m.,2016-06-16,10:00 a.m.,False,"Christopher Mitchell, Matthew Rantanen, Michael Scurato - Fifteen percent of Americans don't use the internet—and they aren't all seniors. In rural areas, on reservations and in prisons, many users simply don't have access. The story of lack of access deepens when we overlay “access” with economic data. For example, 62% of Spanish-dominant Latinos do not have broadband access at home. A significant number of users can't afford to have access when or how they want it.
We'll explore questions like, do users really have internet access if the only access is mobile wireless or, if the cost is 10% of their monthly wage? Will the proposed lifeline program impact a significant number of people? Speakers will also explain the implications of lifeline access, the hope community broadband offers, and provide tools/sources so you can investigate internet access across geographic, demographic and policy lines.
 | URL: http://ire.org/events-and-training/event/2199/2680/",Galerie 4-5,False
,Tracking government spending,2016-06-16,9:00 a.m.,2016-06-16,10:00 a.m.,False,"Ziva Branstetter, Colby Goodman, Norberto Santana Jr. -  | URL: http://ire.org/events-and-training/event/2199/2560/",Salon F-H,False
,An insider's guide to IRE16,2016-06-16,9:00 a.m.,2016-06-16,10:00 a.m.,False,"Charlotte Huffman, Kristin Hussey, Sarah Hutchins, Megan Luther - **Moderated by Megan Luther, IRE/NICAR
 | URL: http://ire.org/events-and-training/event/2199/2555/",Salon E,False
tableau,Interactive data graphics in Tableau Public (Hosted by Tableau) *pre-registered attendees only,2016-06-16,9:00 a.m.,2016-06-16,10:30 a.m.,False,"Learn how to create beautiful, interactive data visualizations on short deadlines. No programming required. You'll learn everything you need to build data visualizations and publish them to your website just like a video. We'll teach you how to:
•Connect to Excel files and other data•Create maps and charts•Make them interactive•Publish them on your site
Tableau Public is a free tool for journalists. No previous experience with Tableau is necessary to take this class. Laptops will be provided. This is a free training, however you must be registered for the IRE Conference to attend this class. Limited seats are available. There may be a few seats available on-site.
Register for this class
",Salon C,False
,Show & Tell *Thursday - #1 (Sponsored by Napoli Management Group),2016-06-16,9:00 a.m.,2016-06-16,10:00 a.m.,False,"Kevin Keeshan - **Moderated by Kevin Keeshan, NBC Owned Television Stations
Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 10 minutes and includes a 5-minute break.
Reserve a slot online: Thursday sign-ups open at 9 a.m. on Wednesday. Check back on Wednesday, June 15 for sign-up details.
 | URL: http://ire.org/events-and-training/event/2199/2713/",Galerie 2,False
,Show & Tell *Thursday - #2 (Sponsored by Napoli Management Group),2016-06-16,10:15 a.m.,2016-06-16,11:15 a.m.,False,"**Moderated by Susana Schuler, Raycom Media
Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 10 minutes and includes a 5-minute break.
Reserve a slot online: Thursday sign-ups open at 9 a.m. on Wednesday. Check back on Wednesday, June 15 for sign-up details.
",Galerie 2,False
,Tracking down investigative threads,2016-06-16,10:15 a.m.,2016-06-16,11:15 a.m.,False,"Scott Bronstein, Charles Lewis, Alison Young -  | URL: http://ire.org/events-and-training/event/2199/2563/",Galerie 4-5,False
,Deep dives: Issues you can explore in your community,2016-06-16,10:15 a.m.,2016-06-16,11:15 a.m.,False,"Katherine Sayre, Jessica Terrell, Todd Wallack, Jaimi Dowdell - **Moderated by Jaimi Dowdell, IRE/NICAR
 | URL: http://ire.org/events-and-training/event/2199/2561/",Salon F-H,False
,Broadcast: When things change dramatically,2016-06-16,10:15 a.m.,2016-06-16,11:15 a.m.,False,"Jodie Fleischer, Chris Nakamoto, Rick Yarborough -  | URL: http://ire.org/events-and-training/event/2199/2566/",Galerie 3,False
,Working with African newsrooms: From collaboration to coding (Sponsored by International Center for Journalists),2016-06-16,10:15 a.m.,2016-06-16,11:15 a.m.,False,"Amanda Strydom, David Lemayian -  | URL: http://ire.org/events-and-training/event/2199/2556/",Salon E,False
,Data viz storytelling,2016-06-16,10:15 a.m.,2016-06-16,11:15 a.m.,False,"Dianne Finch, Ed Lowther, Shane Shifflett, Cheryl Phillips - **Moderated by Cheryl Phillips, Stanford University
 | URL: http://ire.org/events-and-training/event/2199/2545/",Studio 9-10,False
spreadsheets,Excel 1: Getting started with spreadsheets,2016-06-16,10:15 a.m.,2016-06-16,11:15 a.m.,False,"Patti DiVincenzo - In this introduction to spreadsheets you'll begin analyzing data with Excel, a simple but powerful tool. You'll learn how to enter data, sort it, filter it and conduct simple calculations like sum, average and median.
Prerequisites: None.
 | URL: http://ire.org/events-and-training/event/2199/2640/",Salon B,False
,Watchdogging sports,2016-06-16,10:15 a.m.,2016-06-16,11:15 a.m.,False,"Paula Lavigne, Noah Pransky, Brad Wolverton -  | URL: http://ire.org/events-and-training/event/2199/2550/",Salon D,False
,Tools and tips for the reporting process (Sponsored by Knight Foundation),2016-06-16,10:15 a.m.,2016-06-16,11:15 a.m.,False,"Daniel Connolly, Lauren Grandestaff, Jesse Patel -  | URL: http://ire.org/events-and-training/event/2199/2728/",Galerie 1,False
tableau,Advanced design and interaction in Tableau Public (Hosted by Tableau) *pre-registered attendees only,2016-06-16,11:00 a.m.,2016-06-16,12:30 p.m.,False,"Analyzing data and coming up interactive visualizations is easy in Tableau but sometimes getting everything looking polished isn't. In this session you will learn how to break away from the default formatting in Tableau Public to create interactive data graphics that match your style guides and engage your readers. We will teach you how to:
•change colors, shapes, borders, fonts, and other basic formatting•incorporate images, logos, and other graphic elements•take advantage of advanced interaction techniques to incorporate multimedia•utilize design and layout best practices to make sure that your visualization looks polished and professional
Tableau Public is a free tool for journalists. Some familiarity with the product is recommended; a beginner session earlier in the day should prepare you enough for this session. Laptops will be provided. This is a free training, however you must be registered for the IRE Conference to attend this class. Limited seats are available. There may be a few seats available on-site.
Register for this class
",Salon C,False
,Show & Tell *Thursday - #3 (Sponsored by Napoli Management Group),2016-06-16,11:30 a.m.,2016-06-16,12:30 p.m.,False,"Patti Dennis - **Moderated by Patti Dennis, TEGNA, Inc.
Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 10 minutes and includes a 5-minute break.
Reserve a slot online: Thursday sign-ups open at 9 a.m. on Wednesday. Check back on Wednesday, June 15 for sign-up details.
 | URL: http://ire.org/events-and-training/event/2199/2715/",Galerie 2,False
,Courts/public defenders (Sponsored by Criminal Justice Journalists),2016-06-16,11:30 a.m.,2016-06-16,12:30 p.m.,False,"John Simerman, Kendall Taggart, Ted Gest, Judge Arthur L. Hunter, Jr. -  **Moderated by Ted Gest, Criminal Justice Journalists
 | URL: http://ire.org/events-and-training/event/2199/2546/",Studio 9-10,False
spreadsheets,Excel 2: Functions and pivot tables,2016-06-16,11:30 a.m.,2016-06-16,12:30 p.m.,False,"Crina Boros - In this class you'll learn how to use formulas to analyze data with the eye of a journalist using calculations like change, percent change and rates. It will also focus on the power of pivot tables for analysis in minutes rather than hours.
Prerequisites: This class will be most helpful if you've taken Excel 1 or have worked with a spreadsheet in the past.
 | URL: http://ire.org/events-and-training/event/2199/2641/",Salon B,False
,Government data to drive your stories (Sponsored by Knight Foundation),2016-06-16,11:30 a.m.,2016-06-16,12:30 p.m.,False,"Troy Thibodeaux, Tyson Weister -  | URL: http://ire.org/events-and-training/event/2199/2690/",Galerie 1,False
,The art of cultivating and protecting whistleblowers,2016-06-16,11:30 a.m.,2016-06-16,12:30 p.m.,False,"Michael Hudson, Marta Jewson, Angie Moreschi, Josh Meyer - **Moderated by Josh Meyer, NBC News
 | URL: http://ire.org/events-and-training/event/2199/2564/",Galerie 4-5,False
,Educators: Doing investigations with students,2016-06-16,11:30 a.m.,2016-06-16,12:30 p.m.,False,"Len Downie, Jr, Deborah Nelson, Neil Reisner, Mark Horvit - **Moderated by Mark Horvit, IRE/NICAR
 | URL: http://ire.org/events-and-training/event/2199/2657/",Salon D,False
,From lone wolf to team player: The evolution of the investigative reporter,2016-06-16,11:30 a.m.,2016-06-16,12:30 p.m.,False,"Walt Bogdanich, Jennifer LaFleur, James B. Steele, Roy Harris - **Moderated by Roy Harris, independent journalist
 | URL: http://ire.org/events-and-training/event/2199/2557/",Salon E,False
,Uncovering stories on the health beat,2016-06-16,11:30 a.m.,2016-06-16,12:30 p.m.,False,,Galerie 3,False
